Policy_Number,Policy_Type,Coverage,Exclusions,Duration,Premium,Renewal_Option
POL566R,Travel,"Covers fire, flood, and natural disasters",Adventure sports injuries excluded,20 Years,"₹12,000",Online Renewal Available
POL995Z,Accident,Covers accidental damage and theft,War-related damages excluded,20 Years,"₹20,000",Offline Renewal Only
POL464D,Property,Covers death due to natural or accidental causes,Adventure sports injuries excluded,3 Years,"₹15,000",Online Renewal Available
POL382D,Travel,"Covers fire, flood, and natural disasters",Adventure sports injuries excluded,Annual,"₹30,000",Online Renewal Available
POL552K,Motor,Covers emergency medical expenses abroad,War-related damages excluded,10 Years,"₹18,000",Offline Renewal Only
POL924H,Accident,Covers accidental damage and theft,Dental and cosmetic procedures excluded,Annual,"₹15,000",Online Renewal Available
POL303R,Accident,"Covers hospitalization up to ₹2,00,000",Adventure sports injuries excluded,10 Years,"₹15,000",Offline Renewal Only
POL150Z,Motor,Covers emergency medical expenses abroad,Pre-existing conditions excluded for 2 years,10 Years,"₹10,000",Offline Renewal Only
POL129T,Accident,"Covers hospitalization up to ₹2,00,000",Pre-existing conditions excluded for 2 years,3 Years,"₹30,000",Online Renewal Available
POL358A,Life,Covers death due to natural or accidental causes,Claims under alcohol influence excluded,5 Years,"₹20,000",Offline Renewal Only
POL262I,Motor,Covers accidental damage and theft,Suicide not covered for first year,3 Years,"₹25,000",Online Renewal Available
POL367B,Motor,"Covers hospitalization up to ₹2,00,000",Claims under alcohol influence excluded,10 Years,"₹8,000",Offline Renewal Only
POL888E,Motor,"Covers hospitalization up to ₹2,00,000",Suicide not covered for first year,3 Years,"₹8,000",Online Renewal Available
POL534F,Motor,"Covers hospitalization up to ₹2,00,000",Dental and cosmetic procedures excluded,Annual,"₹15,000",Offline Renewal Only
POL345F,Accident,Covers death due to natural or accidental causes,Pre-existing conditions excluded for 2 years,20 Years,"₹10,000",Offline Renewal Only
POL404H,Life,Covers death due to natural or accidental causes,War-related damages excluded,5 Years,"₹12,000",Online Renewal Available
POL789A,Life,"Covers fire, flood, and natural disasters",Dental and cosmetic procedures excluded,10 Years,"₹25,000",Offline Renewal Only
POL460U,Travel,Covers personal accident injuries and liabilities,Claims under alcohol influence excluded,20 Years,"₹15,000",Online Renewal Available
POL327Q,Health,Covers emergency medical expenses abroad,War-related damages excluded,5 Years,"₹20,000",Offline Renewal Only
POL437G,Travel,Covers emergency medical expenses abroad,Claims under alcohol influence excluded,3 Years,"₹12,000",Offline Renewal Only
POL811N,Travel,"Covers fire, flood, and natural disasters",Dental and cosmetic procedures excluded,3 Years,"₹20,000",Online Renewal Available
POL928Y,Accident,"Covers hospitalization up to ₹2,00,000",Claims under alcohol influence excluded,10 Years,"₹8,000",Online Renewal Available
POL328Y,Travel,Covers accidental damage and theft,Pre-existing conditions excluded for 2 years,20 Years,"₹20,000",Online Renewal Available
POL527O,Motor,Covers accidental damage and theft,War-related damages excluded,20 Years,"₹25,000",Offline Renewal Only
POL599M,Life,Covers accidental damage and theft,Adventure sports injuries excluded,20 Years,"₹30,000",Online Renewal Available
POL780O,Travel,Covers emergency medical expenses abroad,Adventure sports injuries excluded,3 Years,"₹18,000",Online Renewal Available
POL442E,Life,Covers accidental damage and theft,War-related damages excluded,5 Years,"₹30,000",Offline Renewal Only
POL935T,Accident,Covers accidental damage and theft,Adventure sports injuries excluded,Annual,"₹25,000",Offline Renewal Only
POL242R,Accident,Covers accidental damage and theft,War-related damages excluded,3 Years,"₹10,000",Online Renewal Available
POL330P,Health,Covers accidental damage and theft,Adventure sports injuries excluded,5 Years,"₹8,000",Offline Renewal Only
POL416R,Travel,Covers death due to natural or accidental causes,War-related damages excluded,20 Years,"₹12,000",Offline Renewal Only
POL536I,Life,Covers death due to natural or accidental causes,Pre-existing conditions excluded for 2 years,3 Years,"₹12,000",Online Renewal Available
POL146T,Motor,Covers death due to natural or accidental causes,Adventure sports injuries excluded,10 Years,"₹10,000",Online Renewal Available
POL562G,Property,"Covers hospitalization up to ₹2,00,000",Adventure sports injuries excluded,20 Years,"₹10,000",Offline Renewal Only
POL818O,Life,Covers accidental damage and theft,Suicide not covered for first year,20 Years,"₹8,000",Online Renewal Available
POL565Y,Travel,"Covers fire, flood, and natural disasters",Claims under alcohol influence excluded,20 Years,"₹20,000",Offline Renewal Only
POL236E,Accident,Covers death due to natural or accidental causes,Adventure sports injuries excluded,Annual,"₹20,000",Online Renewal Available
POL192B,Motor,"Covers fire, flood, and natural disasters",Adventure sports injuries excluded,Annual,"₹15,000",Offline Renewal Only
POL924J,Life,Covers personal accident injuries and liabilities,Dental and cosmetic procedures excluded,3 Years,"₹10,000",Offline Renewal Only
POL550W,Travel,Covers emergency medical expenses abroad,War-related damages excluded,Annual,"₹18,000",Online Renewal Available
POL289V,Health,Covers emergency medical expenses abroad,War-related damages excluded,20 Years,"₹12,000",Offline Renewal Only
POL510Y,Property,"Covers fire, flood, and natural disasters",Claims under alcohol influence excluded,10 Years,"₹10,000",Offline Renewal Only
POL290O,Property,"Covers hospitalization up to ₹2,00,000",Dental and cosmetic procedures excluded,10 Years,"₹12,000",Offline Renewal Only
POL484O,Property,Covers personal accident injuries and liabilities,Dental and cosmetic procedures excluded,20 Years,"₹12,000",Offline Renewal Only
POL899N,Accident,Covers accidental damage and theft,Pre-existing conditions excluded for 2 years,Annual,"₹15,000",Offline Renewal Only
POL550I,Health,"Covers fire, flood, and natural disasters",Claims under alcohol influence excluded,5 Years,"₹20,000",Offline Renewal Only
POL127F,Accident,"Covers fire, flood, and natural disasters",Dental and cosmetic procedures excluded,5 Years,"₹8,000",Online Renewal Available
POL267A,Property,"Covers fire, flood, and natural disasters",War-related damages excluded,20 Years,"₹20,000",Offline Renewal Only
POL850A,Health,Covers personal accident injuries and liabilities,Claims under alcohol influence excluded,10 Years,"₹25,000",Online Renewal Available
POL948J,Accident,"Covers hospitalization up to ₹2,00,000",Suicide not covered for first year,3 Years,"₹20,000",Online Renewal Available
POL256B,Travel,Covers death due to natural or accidental causes,Pre-existing conditions excluded for 2 years,5 Years,"₹30,000",Offline Renewal Only
POL594J,Health,Covers death due to natural or accidental causes,War-related damages excluded,5 Years,"₹10,000",Offline Renewal Only
POL788W,Accident,Covers emergency medical expenses abroad,Adventure sports injuries excluded,Annual,"₹25,000",Offline Renewal Only
POL729W,Life,Covers death due to natural or accidental causes,Dental and cosmetic procedures excluded,Annual,"₹25,000",Online Renewal Available
POL602Z,Travel,"Covers hospitalization up to ₹2,00,000",Claims under alcohol influence excluded,Annual,"₹18,000",Offline Renewal Only
POL896O,Health,Covers accidental damage and theft,Pre-existing conditions excluded for 2 years,20 Years,"₹30,000",Online Renewal Available
POL698F,Accident,Covers personal accident injuries and liabilities,Claims under alcohol influence excluded,5 Years,"₹15,000",Offline Renewal Only
POL330J,Property,Covers accidental damage and theft,Pre-existing conditions excluded for 2 years,10 Years,"₹12,000",Offline Renewal Only
POL529T,Property,"Covers fire, flood, and natural disasters",Adventure sports injuries excluded,5 Years,"₹10,000",Online Renewal Available
POL361N,Travel,Covers accidental damage and theft,Adventure sports injuries excluded,20 Years,"₹18,000",Offline Renewal Only
POL619M,Motor,Covers accidental damage and theft,War-related damages excluded,20 Years,"₹20,000",Offline Renewal Only
POL357U,Life,Covers emergency medical expenses abroad,Claims under alcohol influence excluded,20 Years,"₹20,000",Online Renewal Available
POL100Z,Property,Covers emergency medical expenses abroad,War-related damages excluded,5 Years,"₹18,000",Offline Renewal Only
POL107R,Accident,Covers personal accident injuries and liabilities,Claims under alcohol influence excluded,Annual,"₹25,000",Offline Renewal Only
POL464U,Motor,Covers emergency medical expenses abroad,Adventure sports injuries excluded,3 Years,"₹20,000",Offline Renewal Only
POL783K,Accident,Covers accidental damage and theft,Pre-existing conditions excluded for 2 years,20 Years,"₹20,000",Offline Renewal Only
POL521I,Life,Covers personal accident injuries and liabilities,Adventure sports injuries excluded,Annual,"₹30,000",Offline Renewal Only
POL234I,Property,Covers personal accident injuries and liabilities,Pre-existing conditions excluded for 2 years,20 Years,"₹20,000",Online Renewal Available
POL340E,Property,"Covers hospitalization up to ₹2,00,000",Suicide not covered for first year,10 Years,"₹20,000",Offline Renewal Only
POL873J,Property,"Covers fire, flood, and natural disasters",Suicide not covered for first year,5 Years,"₹25,000",Online Renewal Available
POL480V,Accident,Covers accidental damage and theft,Dental and cosmetic procedures excluded,5 Years,"₹8,000",Offline Renewal Only
POL107B,Motor,Covers accidental damage and theft,Adventure sports injuries excluded,3 Years,"₹10,000",Offline Renewal Only
POL385Y,Motor,Covers emergency medical expenses abroad,Pre-existing conditions excluded for 2 years,3 Years,"₹12,000",Offline Renewal Only
POL149E,Accident,Covers death due to natural or accidental causes,Dental and cosmetic procedures excluded,5 Years,"₹15,000",Online Renewal Available
POL833Q,Travel,Covers personal accident injuries and liabilities,Dental and cosmetic procedures excluded,Annual,"₹10,000",Offline Renewal Only
POL227N,Accident,"Covers hospitalization up to ₹2,00,000",Adventure sports injuries excluded,Annual,"₹8,000",Offline Renewal Only
POL561A,Travel,Covers death due to natural or accidental causes,Claims under alcohol influence excluded,5 Years,"₹12,000",Offline Renewal Only
POL235J,Life,Covers personal accident injuries and liabilities,War-related damages excluded,3 Years,"₹10,000",Online Renewal Available
POL410N,Life,Covers death due to natural or accidental causes,Pre-existing conditions excluded for 2 years,Annual,"₹12,000",Offline Renewal Only
POL434K,Health,Covers emergency medical expenses abroad,Claims under alcohol influence excluded,5 Years,"₹20,000",Offline Renewal Only
POL441W,Travel,Covers emergency medical expenses abroad,Dental and cosmetic procedures excluded,5 Years,"₹15,000",Online Renewal Available
POL552W,Motor,Covers personal accident injuries and liabilities,Dental and cosmetic procedures excluded,10 Years,"₹12,000",Online Renewal Available
POL394W,Travel,Covers emergency medical expenses abroad,Suicide not covered for first year,5 Years,"₹15,000",Offline Renewal Only
POL239M,Travel,Covers personal accident injuries and liabilities,Dental and cosmetic procedures excluded,3 Years,"₹25,000",Online Renewal Available
POL401P,Health,"Covers fire, flood, and natural disasters",War-related damages excluded,Annual,"₹20,000",Offline Renewal Only
POL601T,Health,Covers emergency medical expenses abroad,Suicide not covered for first year,Annual,"₹18,000",Offline Renewal Only
POL255P,Travel,Covers personal accident injuries and liabilities,War-related damages excluded,10 Years,"₹12,000",Online Renewal Available
POL784Y,Life,Covers death due to natural or accidental causes,Claims under alcohol influence excluded,5 Years,"₹12,000",Offline Renewal Only
POL338V,Property,"Covers hospitalization up to ₹2,00,000",Pre-existing conditions excluded for 2 years,Annual,"₹18,000",Online Renewal Available
